engine_run_time_,engine_rpm_,vehicle_speed_,throttle_,engine_load_,coolant_temperature_,long_term_fuel_trim_bank_1_,short_term_fuel_trim_bank_1_,intake_manifold_pressure_,fuel_tank_,absolute_throttle_b_,pedal_d_,pedal_e_,commanded_throttle_actuator_,fuel_air_commanded_equiv_ratio_,absolute_barometric_pressure_,relative_throttle_position_,intake_air_temp_,timing_advance_,catalyst_temperature_bank1_sensor1_,catalyst_temperature_bank1_sensor2_,control_module_voltage_,commanded_evaporative_purge_,time_run_with_mil_on_,time_since_trouble_codes_cleared_,distance_traveled_with_mil_on_,warm_ups_since_codes_cleared_
1400.75,0.0,19.215687,26.274509,27.0,0.78125,0.0,26.0,31.764706,51.764706,16.078432,31.764706,19.215687,0.0,100.0,0.0,26.0,5.0,56.199997,25.0,14.394,0.0,0.0,7902.0,0.0,255.0,
1400.75,0.0,19.215687,26.274509,27.0,0.78125,0.0,26.0,31.764706,52.156864,16.078432,31.764706,19.607843,0.0,100.0,0.392157,26.0,5.0,56.199997,25.0,14.414,0.0,0.0,7902.0,0.0,255.0,
1400.75,0.0,19.215687,28.627451,27.0,0.0,0.0,29.0,31.764706,52.156864,16.078432,31.764706,19.607843,0.0,100.0,0.392157,26.0,5.0,56.199997,25.0,14.414,0.0,0.0,7902.0,0.0,255.0,
1422.5,0.0,19.607843,28.627451,27.0,0.0,0.0,29.0,31.764706,52.156864,16.078432,31.764706,19.607843,0.0,100.0,0.392157,26.0,2.0,56.199997,25.0,14.414,0.0,0.0,7902.0,0.0,255.0,
1422.5,0.0,19.607843,28.627451,27.0,0.0,0.0,29.0,31.764706,52.156864,16.078432,31.764706,19.607843,0.0,100.0,0.392157,26.0,2.0,65.5,25.099998,14.414,0.0,0.0,7902.0,0.0,255.0,
1422.5,0.0,19.607843,28.627451,27.0,0.0,0.0,29.0,31.764706,52.156864,16.078432,31.764706,20.0,0.0,100.0,0.784314,26.0,2.0,65.5,25.099998,14.414,0.0,0.0,7902.0,0.0,255.0,
1446.75,0.0,20.0,28.627451,28.0,0.0,0.0,29.0,31.764706,52.156864,16.078432,31.764706,20.0,0.0,100.0,0.784314,26.0,2.0,65.5,25.099998,14.414,0.0,0.0,7902.0,0.0,255.0,
1446.75,0.0,20.0,28.627451,28.0,0.0,0.0,29.0,31.764706,52.156864,16.078432,31.764706,20.0,0.0,100.0,0.784314,26.0,2.0,65.5,25.099998,14.414,0.0,0.0,7902.0,0.0,255.0,
1446.75,0.0,20.0,28.627451,28.0,0.0,0.0,29.0,31.764706,52.156864,16.078432,31.764706,20.0,0.0,100.0,0.784314,26.0,2.0,75.599998,25.300003,14.414,0.0,0.0,7902.0,0.0,255.0,
1446.75,0.0,20.0,28.627451,28.0,0.0,0.0,29.0,31.764706,52.156864,16.078432,31.764706,20.0,0.0,100.0,0.784314,26.0,2.0,75.599998,25.300003,14.414,0.0,0.0,7902.0,0.0,255.0,
1450.0,0.0,19.607843,28.627451,28.0,0.0,0.0,28.0,31.764706,52.156864,16.078432,31.764706,20.0,0.0,100.0,0.784314,26.0,3.0,75.599998,25.300003,14.414,0.0,0.0,7902.0,0.0,255.0,
1450.0,0.0,19.607843,28.627451,28.0,0.0,0.0,28.0,31.764706,52.156864,16.078432,31.764706,20.0,0.0,100.0,0.784314,26.0,3.0,75.599998,25.300003,14.414,0.0,0.0,7902.0,0.0,255.0,
1450.0,0.0,19.607843,28.627451,28.0,0.0,0.0,28.0,31.764706,52.156864,16.078432,31.764706,19.607843,0.0,100.0,0.784314,26.0,3.0,80.900002,25.300003,14.414,0.0,0.0,7902.0,0.0,255.0,
1450.0,0.0,19.607843,27.843138,29.0,0.78125,0.0,28.0,31.764706,52.156864,16.078432,31.764706,19.607843,0.0,100.0,0.784314,26.0,3.0,80.900002,25.300003,14.414,0.0,0.0,7902.0,0.0,255.0,
1441.25,0.0,19.607843,27.843138,29.0,0.78125,0.0,27.0,31.764706,52.156864,16.078432,31.764706,19.607843,0.0,100.0,0.784314,26.0,4.0,80.900002,25.300003,14.414,0.0,0.0,7902.0,0.0,255.0,
1441.25,0.0,19.607843,27.843138,29.0,0.78125,0.0,27.0,32.156864,52.156864,16.078432,31.764706,19.607843,0.0,100.0,0.784314,26.0,4.0,91.5,25.599998,14.414,0.0,0.0,7902.0,0.0,255.0,
1441.25,0.0,19.607843,27.843138,29.0,0.78125,0.0,27.0,32.156864,51.764706,16.078432,31.764706,19.607843,0.0,100.0,0.392157,26.0,4.0,91.5,25.599998,14.414,0.0,0.0,7902.0,0.0,255.0,
1410.0,0.0,19.607843,27.058823,30.0,0.78125,0.0,27.0,32.156864,51.764706,16.078432,31.764706,19.607843,0.0,100.0,0.392157,26.0,5.0,91.5,25.599998,14.414,0.0,0.0,7902.0,0.0,255.0,
1410.0,0.0,19.607843,27.058823,30.0,0.78125,0.0,27.0,31.764706,51.764706,16.078432,31.764706,19.607843,0.0,100.0,0.392157,26.0,5.0,91.5,25.599998,14.414,0.0,0.0,7902.0,0.0,255.0,
1410.0,0.0,19.607843,27.058823,30.0,0.78125,0.0,27.0,31.764706,51.764706,16.078432,31.764706,19.215687,0.0,100.0,0.392157,26.0,5.0,102.0,25.900002,14.414,0.0,0.0,7902.0,0.0,255.0,
1410.0,0.0,19.607843,27.058823,30.0,0.78125,0.0,27.0,31.764706,51.764706,16.078432,31.764706,19.215687,0.0,100.0,0.392157,26.0,5.0,102.0,25.900002,14.414,0.0,0.0,7902.0,0.0,255.0,
1354.5,0.0,19.215687,26.666666,30.0,0.78125,0.0,27.0,31.764706,51.764706,16.078432,31.764706,19.215687,0.0,100.0,0.392157,26.0,6.0,102.0,25.900002,14.414,0.0,0.0,7902.0,0.0,255.0,
1354.5,0.0,19.215687,26.666666,30.0,0.78125,0.0,27.0,31.764706,51.764706,16.078432,31.764706,19.215687,0.0,100.0,0.392157,26.0,6.0,102.0,25.900002,14.414,0.0,0.0,7902.0,0.0,255.0,
1354.5,0.0,19.215687,26.666666,30.0,0.78125,0.0,27.0,31.764706,52.941177,16.078432,31.764706,20.392157,0.0,100.0,1.568627,26.0,6.0,112.100006,26.199997,14.316,0.0,0.0,7902.0,0.0,255.0,
1354.5,0.0,19.215687,35.686275,31.0,-1.5625,0.0,27.0,31.764706,52.941177,16.078432,31.764706,20.392157,0.0,100.0,1.568627,26.0,6.0,112.100006,26.199997,14.316,0.0,0.0,7902.0,0.0,255.0,
1296.0,0.0,20.392157,35.686275,31.0,-1.5625,0.0,36.0,31.764706,52.941177,16.078432,31.764706,20.392157,0.0,100.0,1.568627,26.0,7.0,112.100006,26.199997,14.316,0.0,0.0,7902.0,0.0,255.0,
1296.0,0.0,20.392157,35.686275,31.0,-1.5625,0.0,36.0,31.764706,52.941177,16.078432,31.764706,20.392157,0.0,100.0,1.568627,26.0,7.0,117.399994,26.400002,14.316,0.0,0.0,7902.0,0.0,255.0,
1296.0,0.0,20.392157,35.686275,31.0,-1.5625,0.0,36.0,31.764706,52.941177,16.078432,31.764706,20.392157,0.0,100.0,1.176471,26.0,7.0,117.399994,26.400002,14.296,0.0,0.0,7902.0,0.0,255.0,
1257.75,0.0,20.0,35.294117,31.0,-1.5625,0.0,35.0,31.764706,52.941177,16.078432,31.764706,20.392157,0.0,100.0,1.176471,26.0,4.0,117.399994,26.400002,14.296,0.0,0.0,7902.0,0.0,255.0,
1257.75,0.0,20.0,35.294117,31.0,-1.5625,0.0,35.0,31.764706,52.941177,16.078432,31.764706,20.392157,0.0,100.0,1.176471,26.0,4.0,117.399994,26.400002,14.296,0.0,0.0,7902.0,0.0,255.0,
1257.75,0.0,20.0,35.294117,31.0,-1.5625,0.0,35.0,31.764706,52.549019,16.078432,31.764706,20.392157,0.0,100.0,0.784314,26.0,4.0,128.5,26.900002,14.277,0.0,0.0,7902.0,0.0,255.0,
1257.75,0.0,20.0,35.294117,31.0,-1.5625,0.0,35.0,31.764706,52.549019,16.078432,31.764706,20.0,0.0,100.0,0.784314,26.0,4.0,128.5,26.900002,14.277,0.0,0.0,7902.0,0.0,255.0,
1182.75,0.0,19.607843,34.901962,32.0,-1.5625,0.0,35.0,31.764706,52.549019,16.078432,31.764706,20.0,0.0,100.0,0.784314,26.0,7.0,128.5,26.900002,14.277,0.0,0.0,7902.0,0.0,255.0,
1182.75,0.0,19.607843,34.901962,32.0,-1.5625,0.0,35.0,31.764706,52.549019,16.078432,31.764706,20.0,0.0,100.0,0.784314,26.0,7.0,128.5,26.900002,14.277,0.0,0.0,7902.0,0.0,255.0,
1182.75,0.0,19.607843,34.901962,32.0,-1.5625,0.0,35.0,31.764706,52.156864,16.078432,31.764706,19.607843,0.0,100.0,0.392157,26.0,7.0,139.600006,27.5,14.257,0.0,0.0,7902.0,0.0,255.0,
1182.75,0.0,19.607843,36.07843,33.0,-1.5625,0.0,35.0,31.764706,52.156864,16.078432,31.764706,19.607843,0.0,100.0,0.392157,26.0,7.0,139.600006,27.5,14.257,0.0,0.0,7902.0,0.0,255.0,
1078.0,0.0,19.607843,36.07843,33.0,-1.5625,0.0,35.0,31.764706,52.156864,16.078432,31.764706,19.607843,0.0,100.0,0.392157,27.0,7.0,139.600006,27.5,14.257,0.0,0.0,7902.0,0.0,255.0,
1078.0,0.0,19.607843,36.07843,33.0,-1.5625,0.0,35.0,31.764706,52.156864,16.078432,31.764706,19.607843,0.0,100.0,0.392157,27.0,7.0,150.300003,28.099998,14.257,0.0,0.0,7902.0,0.0,255.0,
1078.0,0.0,19.607843,36.07843,33.0,-1.5625,0.0,35.0,31.764706,51.764706,16.078432,31.764706,19.607843,0.0,100.0,0.392157,27.0,7.0,150.300003,28.099998,14.238,0.0,0.0,7902.0,0.0,255.0,
1010.75,0.0,19.607843,37.254902,33.0,-1.5625,0.0,37.0,31.764706,51.764706,16.078432,31.764706,19.607843,0.0,100.0,0.392157,27.0,5.0,150.300003,28.099998,14.238,0.0,0.0,7902.0,0.0,255.0,
1010.75,0.0,19.607843,37.254902,33.0,-1.5625,0.0,37.0,31.764706,51.764706,16.078432,31.764706,19.607843,0.0,100.0,0.392157,27.0,5.0,150.300003,28.099998,14.238,0.0,0.0,7902.0,0.0,255.0,
1010.75,0.0,19.607843,37.254902,33.0,-1.5625,0.0,37.0,31.764706,52.156864,16.078432,31.764706,19.607843,0.0,100.0,0.784314,27.0,5.0,155.5,28.800003,14.082,0.0,0.0,7902.0,0.0,255.0,
1010.75,0.0,19.607843,37.254902,33.0,-1.5625,0.0,37.0,31.764706,52.156864,16.078432,31.764706,19.607843,0.0,100.0,0.784314,27.0,5.0,155.5,28.800003,14.082,0.0,0.0,7902.0,0.0,255.0,
992.0,0.0,19.607843,39.607841,34.0,-2.34375,0.0,41.0,31.764706,52.156864,16.078432,31.764706,19.607843,0.0,100.0,0.784314,27.0,-1.0,155.5,28.800003,14.082,0.0,0.0,7902.0,0.0,255.0,
992.0,0.0,19.607843,39.607841,34.0,-2.34375,0.0,41.0,31.764706,52.156864,16.078432,31.764706,19.607843,0.0,100.0,0.784314,27.0,-1.0,155.5,28.800003,14.082,0.0,0.0,7902.0,0.0,255.0,
992.0,0.0,19.607843,39.607841,34.0,-2.34375,0.0,41.0,31.764706,52.156864,16.078432,31.764706,20.0,0.0,100.0,0.784314,27.0,-1.0,165.600006,29.199997,14.218,0.0,0.0,7902.0,0.0,255.0,
992.0,0.0,19.607843,40.784313,35.0,-2.34375,0.0,41.0,31.764706,52.156864,16.078432,31.764706,20.0,0.0,100.0,0.784314,27.0,-1.0,165.600006,29.199997,14.218,0.0,0.0,7902.0,0.0,255.0,
993.75,0.0,19.607843,40.784313,35.0,-2.34375,0.0,41.0,31.764706,52.156864,16.078432,31.764706,20.0,0.0,100.0,0.784314,27.0,-3.0,165.600006,29.199997,14.218,0.0,0.0,7902.0,0.0,255.0,
993.75,0.0,19.607843,40.784313,35.0,-2.34375,0.0,41.0,31.764706,52.156864,16.078432,31.764706,20.0,0.0,100.0,0.784314,27.0,-3.0,175.5,30.0,14.218,0.0,0.0,7902.0,0.0,255.0,
993.75,0.0,19.607843,40.784313,35.0,-2.34375,0.0,41.0,31.764706,52.156864,16.078432,31.764706,20.0,0.0,100.0,0.784314,27.0,-3.0,175.5,30.0,14.218,0.0,0.0,7902.0,0.0,255.0,
1009.25,0.0,19.607843,40.784313,35.0,-2.34375,0.0,40.0,31.764706,52.156864,16.078432,31.764706,20.0,0.0,100.0,0.784314,27.0,-2.0,175.5,30.0,14.218,0.0,0.0,7902.0,0.0,255.0,
1009.25,0.0,19.607843,40.784313,35.0,-2.34375,0.0,40.0,31.764706,52.156864,16.078432,31.764706,20.0,0.0,100.0,0.784314,27.0,-2.0,175.5,30.0,14.218,0.0,0.0,7902.0,0.0,255.0,
1009.25,0.0,19.607843,40.784313,35.0,-2.34375,0.0,40.0,31.764706,52.156864,16.078432,31.764706,20.0,0.0,100.0,0.784314,27.0,-2.0,185.399994,30.900002,14.238,0.0,0.0,7902.0,0.0,255.0,
1009.25,0.0,19.607843,40.784313,35.0,-2.34375,0.0,40.0,31.764706,52.156864,16.078432,31.764706,19.607843,0.0,100.0,0.784314,27.0,-2.0,185.399994,30.900002,14.238,0.0,0.0,7902.0,0.0,255.0,
1003.75,0.0,20.0,40.392159,35.0,-2.34375,0.0,40.0,31.764706,52.156864,16.078432,31.764706,19.607843,0.0,100.0,0.784314,27.0,0.0,185.399994,30.900002,14.238,0.0,0.0,7902.0,0.0,255.0,
1003.75,0.0,20.0,40.392159,35.0,-2.34375,0.0,40.0,31.764706,52.156864,16.078432,31.764706,19.607843,0.0,100.0,0.784314,27.0,0.0,185.399994,30.900002,14.238,0.0,0.0,7902.0,0.0,255.0,
1003.75,0.0,20.0,40.392159,35.0,-2.34375,0.0,40.0,31.764706,52.156864,16.078432,31.764706,19.607843,0.0,100.0,0.784314,27.0,0.0,190.300003,31.900002,14.199,0.0,0.0,7902.0,0.0,255.0,
1003.75,0.0,20.0,43.137257,36.0,-2.34375,0.0,40.0,31.764706,52.156864,16.078432,31.764706,19.607843,0.0,100.0,0.784314,27.0,0.0,190.300003,31.900002,14.199,0.0,0.0,7902.0,0.0,255.0,
821.0,0.0,20.0,43.137257,36.0,-1.5625,-4.6875,50.0,31.764706,52.156864,16.078432,31.764706,19.607843,0.0,100.0,0.784314,27.0,7.0,190.300003,31.900002,14.199,0.0,0.0,7902.0,0.0,255.0,
821.0,0.0,20.0,43.137257,36.0,-1.5625,-4.6875,50.0,30.980392,52.156864,16.078432,31.764706,19.607843,0.0,100.0,0.784314,27.0,7.0,199.800003,32.5,14.199,0.0,0.0,7902.0,0.0,255.0,
821.0,0.0,20.0,43.137257,36.0,-1.5625,-4.6875,50.0,30.980392,52.156864,16.078432,31.764706,20.0,0.0,100.0,0.784314,27.0,7.0,199.800003,32.5,14.218,0.0,0.0,7902.0,0.0,255.0,
964.0,0.0,20.0,43.137257,36.0,-2.34375,-4.6875,43.0,30.980392,52.156864,16.078432,31.764706,20.0,0.0,100.0,0.784314,27.0,-4.0,199.800003,32.5,14.218,0.0,0.0,7902.0,0.0,255.0,
964.0,0.0,20.392157,43.137257,36.0,-2.34375,-4.6875,43.0,30.980392,52.156864,16.078432,31.764706,20.0,0.0,100.0,0.784314,27.0,-4.0,199.800003,32.5,14.218,0.0,0.0,7902.0,0.0,255.0,
